Record Date,Record Type,Location,Property Type,Price,Price/sqft,Built-up Area,Plot Area,Beds,Has Maid Room,Has Study Room,Floor Level,Views,Has Balcony,Developer,Comments,URL
2023-12-04,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,2103464.0,1211,1737,0,3 Bed,False,False,,,False,,,nan
2023-12-04,Off-plan Transaction,"Avenue Residence 4, Avenue Residence, Al Furjan",Apartment,932937.0,1207,773,0,1 Bed,False,False,,,False,,,nan
2023-12-04,Secondary Transaction,"Montrell, Al Furjan",Apartment,468650.7,1033,454,0,Studio,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-124",nan
2023-12-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,465080.0,1080,431,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-929",nan
2023-11-04,Secondary Transaction,"Farishta, Azizi Residence, Al Furjan",Apartment,450000.0,1135,396,0,Studio,False,False,5,,True,Azizi Developments,Unit-516,nan
2023-11-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,430260.0,1089,395,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-932",nan
2023-11-04,Secondary Transaction,"Murano Residences, Al Furjan",Apartment,680000.0,957,711,0,1 Bed,False,False,8,,True,Ghreiwati Properties,Unit-802,nan
2023-11-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,647280.0,810,799,0,1 Bed,False,False,5,,True,Azizi Developments,"Hotel Apartment, Unit-510",nan
2023-11-04,Secondary Transaction,"Starz by Danube, Al Furjan",Apartment,407000.0,984,414,0,Studio,False,False,9,,True,Danube Properties,Unit-906,nan
2023-11-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,432160.0,1095,395,0,Studio,False,False,11,,True,Azizi Developments,"Hotel Apartment, Unit-1122",nan
2023-11-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,438840.0,925,475,0,Studio,False,False,1,,True,Azizi Developments,"Hotel Apartment, Unit-112",nan
2023-11-04,Secondary Transaction,"Azizi Plaza, Al Furjan",Apartment,439460.0,1112,395,0,Studio,False,False,6,,True,Azizi Developments,"Hotel Apartment, Unit-632",nan
2023-11-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,457600.0,1054,434,0,Studio,False,False,8,,True,Azizi Developments,"Hotel Apartment, Unit-828",nan
2023-11-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,434350.0,1127,385,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-902A",nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,442380.0,1136,389,0,Studio,False,False,12,,True,Azizi Developments,"Hotel Apartment, Unit-1205",nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,577254.6,1325,436,0,Studio,False,False,12,,True,Azizi Developments,"Hotel Apartment, Unit-1229",nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,416500.0,1081,385,0,Studio,False,False,9,,True,Azizi Developments,"Hotel Apartment, Unit-917A",nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,440920.0,1129,391,0,Studio,False,False,6,,True,Azizi Developments,"Hotel Apartment, Unit-612",nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,418600.0,1087,385,0,Studio,False,False,11,,True,Azizi Developments,"Hotel Apartment, Unit-1102A",nan
2023-10-04,Off-plan Transaction,"Gemz by Danube, Al Furjan",Apartment,915000.0,1103,829,0,1 Bed,False,False,7,,True,Danube,Unit-705,nan
2023-10-04,Secondary Transaction,"Azizi Star, Al Furjan",Apartment,422280.0,1096,385,0,Studio,False,False,12,,True,Azizi Developments,"Hotel Apartment, Unit-1221",nan
